Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
Salé,Unknown,Volkswagen,PASSAT CC,2014,190 000 - 199 999,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,155000
Marrakech,Unknown,Volkswagen,GOLF 4,2001,110 000 - 119 999,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,60600
Oujda,Unknown,Mercedes-Benz,Classe C,2004,200 000 - 249 999,Diesel,9,Manuelle,5,Dédouanée,Non,Bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,108000
Rabat,Hay Riad,Citroen,C4,2009,160 000 - 169 999,Diesel,6,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75000
Zagora,Unknown,Peugeot,2008,2015,170 000 - 179 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125000
El Jadida,Unknown,Renault,Clio,2016,95 000 - 99 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,98000
Meknès,Unknown,Renault,Clio,2017,5 000 - 9 999,Diesel,6,Automatique,5,Unknown,Oui,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,120000
Casablanca,Anfa,Renault,Clio,2019,25 000 - 29 999,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,101000
Agadir,Unknown,Toyota,Land Cruiser,2002,200 000 - 249 999,Diesel,12,Automatique,3,Dédouanée,Oui,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100000
Mohammedia,Unknown,Renault,Kangoo,2011,200 000 - 249 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,87000
Casablanca,2 Mars,Fiat,500,2009,110 000 - 119 999,Diesel,6,Manuelle,3,WW au Maroc,Non,Très bon,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,78000
Agadir,Le centre-ville,Volkswagen,Polo,2018,20 000 - 24 999,Essence,6,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,145000
Fès,Unknown,Renault,Megane 3,2016,80 000 - 84 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115000
Rabat,Unknown,Opel,Astra,2016,140 000 - 149 999,Diesel,8,Automatique,5,WW au Maroc,Unknown,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,146000
Ouarzazate,Toute la ville,Dacia,Duster,2017,50 000 - 54 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,150000
Casablanca,Oulfa,Dacia,Logan,2012,130 000 - 139 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,65000
Oujda,Unknown,Toyota,VERSO,2008,300 000 - 349 999,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,72000
Imouzzer-Kendar,Unknown,Citroen,C3,2014,190 000 - 199 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,75000
Khénifra,Toute la ville,Renault,Megane 4,2017,170 000 - 179 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,140000
Temara,Massira 1,Hyundai,Elantra,2019,70 000 - 74 999,Diesel,6,Automatique,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,168000
